10/7/2018	1 Nephi 4	N
10/8/2018	1 Nephi 7	N
10/9/2018	1 Nephi 11	N
10/10/2018	1 Nephi 13	N
10/11/2018	1 Nephi 15	N
10/12/2018	1 Nephi 17	N
10/13/2018	1 Nephi 19	N
10/14/2018	1 Nephi 22	N
10/15/2018	2 Nephi 2	N
10/16/2018	2 Nephi 4	N
10/17/2018	2 Nephi 6	N
10/18/2018	2 Nephi 9	N
10/19/2018	2 Nephi 12	N
10/20/2018	2 Nephi 17	N
10/21/2018	2 Nephi 23	N
10/22/2018	2 Nephi 25	N
10/23/2018	2 Nephi 27	N
10/24/2018	2 Nephi 31	N
10/25/2018	Jacob 1	N
10/26/2018	Jacob 4	N
10/27/2018	Jacob 5	N
10/28/2018	Enos 1	N
10/29/2018	Words of Mormon 1	N
10/30/2018	Mosiah 2	N
10/31/2018	Mosiah 4	N
11/1/2018	Mosiah 7	N
11/2/2018	Mosiah 11	N
11/3/2018	Mosiah 13	N
11/4/2018	Mosiah 18	N
11/5/2018	Mosiah 20	N
11/6/2018	Mosiah 23	N
11/7/2018	Mosiah 26	N
11/8/2018	Mosiah 29	N
11/9/2018	Alma 2	N
11/10/2018	Alma 5	N
11/11/2018	Alma 6	N
11/12/2018	Alma 9	N
11/13/2018	Alma 11	N
11/14/2018	Alma 13	N
11/15/2018	Alma 15	N
11/16/2018	Alma 18	N
11/17/2018	Alma 20	N
11/18/2018	Alma 23	N
11/19/2018	Alma 26	N
11/20/2018	Alma 28	N
11/21/2018	Alma 31	N
11/22/2018	Alma 33	N
11/23/2018	Alma 36	N
11/24/2018	Alma 37	N
11/25/2018	Alma 41	N
11/26/2018	Alma 43	N
11/27/2018	Alma 46	N
11/28/2018	Alma 48	N
11/29/2018	Alma 50	N
11/30/2018	Alma 52	N
12/1/2018	Alma 55	N
12/2/2018	Alma 57	N
12/3/2018	Alma 60	N
12/4/2018	Alma 62	N
12/5/2018	Helaman 2	N
12/6/2018	Helaman 5	N
12/7/2018	Helaman 6	N
12/8/2018	Helaman 9	N
12/9/2018	Helaman 12	N
12/10/2018	Helaman 14	N
12/11/2018	3 Nephi 1	N
12/12/2018	3 Nephi 4	N
12/13/2018	3 Nephi 7	N
12/14/2018	3 Nephi 11	N
12/15/2018	3 Nephi 13	N
12/16/2018	3 Nephi 16	N
12/17/2018	3 Nephi 19	N
12/18/2018	3 Nephi 21	N
12/19/2018	3 Nephi 26	N
12/20/2018	3 Nephi 30	N
12/21/2018	Mormon 2	N
12/22/2018	Mormon 5	N
12/23/2018	Mormon 8	N
12/24/2018	Ether 1	N
12/25/2018	Ether 4	N
12/26/2018	Ether 8	N
12/27/2018	Ether 11	N
12/28/2018	Ether 13	N
12/29/2018	Moroni 5	N
12/30/2018	Moroni 8	N
12/31/2018	Moroni 10	N
