month,day,scripture
10,7,1 Nephi 4 
10,8,1 Nephi 7 
10,9,1 Nephi 11 
10,10,1 Nephi 13 
10,11,1 Nephi 15 
10,12,1 Nephi 17 
10,13,1 Nephi 19 
10,14,1 Nephi 22 
10,15,2 Nephi 2 
10,16,2 Nephi 4 
10,17,2 Nephi 6 
10,18,2 Nephi 9 
10,19,2 Nephi 12 
10,20,2 Nephi 17 
10,21,2 Nephi 23 
10,22,2 Nephi 25 
10,23,2 Nephi 27 
10,24,2 Nephi 31 
10,25,Jacob 1 
10,26,Jacob 4 
10,27,Jacob 5 
10,28,Enos 1 
10,29,Words of Mormon 1 
10,30,Mosiah 2 
10,31,Mosiah 4 
11,1,Mosiah 7 
11,2,Mosiah 11 
11,3,Mosiah 13 
11,4,Mosiah 18 
11,5,Mosiah 20 
11,6,Mosiah 23 
11,7,Mosiah 26 
11,8,Mosiah 29 
11,9,Alma 2 
11,10,Alma 5 
11,11,Alma 6 
11,12,Alma 9 
11,13,Alma 11 
11,14,Alma 13 
11,15,Alma 15 
11,16,Alma 18 
11,17,Alma 20 
11,18,Alma 23 
11,19,Alma 26 
11,20,Alma 28 
11,21,Alma 31 
11,22,Alma 33 
11,23,Alma 36 
11,24,Alma 37 
11,25,Alma 41 
11,26,Alma 43 
11,27,Alma 46 
11,28,Alma 48 
11,29,Alma 50 
11,30,Alma 52 
12,1,Alma 55 
12,2,Alma 57 
12,3,Alma 60 
12,4,Alma 62 
12,5,Helaman 2 
12,6,Helaman 5 
12,7,Helaman 6 
12,8,Helaman 9 
12,9,Helaman 12 
12,10,Helaman 14 
12,11,3 Nephi 1 
12,12,3 Nephi 4 
12,13,3 Nephi 7 
12,14,3 Nephi 11 
12,15,3 Nephi 13 
12,16,3 Nephi 16 
12,17,3 Nephi 19 
12,18,3 Nephi 21 
12,19,3 Nephi 26 
12,20,3 Nephi 30 
12,21,Mormon 2 
12,22,Mormon 5 
12,23,Mormon 8 
12,24,Ether 1 
12,25,Ether 4 
12,26,Ether 8 
12,27,Ether 11 
12,28,Ether 13 
12,29,Moroni 5 
12,30,Moroni 8 
12,31,Moroni 10 
